series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_classification,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2011,A,0,201152,01/01/2011,M,Imports,,1,Total,0,World,2000,,91.85556743,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2011,A,0,201152,01/01/2011,X,Exports,,1,Total,0,World,2000,,184.10892627,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2012,A,0,201252,01/01/2012,M,Imports,,1,Total,0,World,2000,,93.22972343,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2012,A,0,201252,01/01/2012,X,Exports,,1,Total,0,World,2000,,169.66933098,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2013,A,0,201352,01/01/2013,M,Imports,,1,Total,0,World,2000,,95.37227384,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2013,A,0,201352,01/01/2013,X,Exports,,1,Total,0,World,2000,,168.8013861,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2014,A,0,201452,01/01/2014,M,Imports,,1,Total,0,World,2000,,98.49336221,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1977,A,0,197752,01/01/1977,M,Imports,,1,Total,0,World,2000,,29.05298358,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1977,A,0,197752,01/01/1977,X,Exports,,1,Total,0,World,2000,,39.81660374,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1978,A,0,197852,01/01/1978,M,Imports,,1,Total,0,World,2000,,30.91988049,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1978,A,0,197852,01/01/1978,X,Exports,,1,Total,0,World,2000,,41.24977525,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1979,A,0,197952,01/01/1979,M,Imports,,1,Total,0,World,2000,,37.40692012,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1979,A,0,197952,01/01/1979,X,Exports,,1,Total,0,World,2000,,49.84896778,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1980,A,0,198052,01/01/1980,M,Imports,,1,Total,0,World,2000,,47.37841369,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1980,A,0,198052,01/01/1980,X,Exports,,1,Total,0,World,2000,,57.1191095,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1981,A,0,198152,01/01/1981,M,Imports,,1,Total,0,World,2000,,48.24511873,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2014,A,0,201452,01/01/2014,X,Exports,,1,Total,0,World,2000,,162.58650844,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1995,A,0,199552,01/01/1995,X,Exports,,1,Total,0,World,2000,,90.94591281,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1995,A,0,199552,01/01/1995,M,Imports,,1,Total,0,World,2000,,91.4818774,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1996,A,0,199652,01/01/1996,X,Exports,,1,Total,0,World,2000,,87.19217379,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1996,A,0,199652,01/01/1996,M,Imports,,1,Total,0,World,2000,,86.57785818,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1997,A,0,199752,01/01/1997,X,Exports,,1,Total,0,World,2000,,88.71540888,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1997,A,0,199752,01/01/1997,M,Imports,,1,Total,0,World,2000,,86.44756919,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1998,A,0,199852,01/01/1998,X,Exports,,1,Total,0,World,2000,,93.07540169,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1998,A,0,199852,01/01/1998,M,Imports,,1,Total,0,World,2000,,93.73498159,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1981,A,0,198152,01/01/1981,X,Exports,,1,Total,0,World,2000,,58.08332925,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1963,A,0,196352,01/01/1963,X,Exports,,1,Total,0,World,2000,,19.39456349,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1964,A,0,196452,01/01/1964,M,Imports,,1,Total,0,World,2000,,10.32617932,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1964,A,0,196452,01/01/1964,X,Exports,,1,Total,0,World,2000,,20.02010494,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1965,A,0,196552,01/01/1965,M,Imports,,1,Total,0,World,2000,,10.5128416,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1965,A,0,196552,01/01/1965,X,Exports,,1,Total,0,World,2000,,18.41138299,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2007,A,0,200752,01/01/2007,X,Exports,,1,Total,0,World,2000,,134.92669053,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2007,A,0,200752,01/01/2007,M,Imports,,1,Total,0,World,2000,,88.53995925,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2008,A,0,200852,01/01/2008,X,Exports,,1,Total,0,World,2000,,168.66408408,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2008,A,0,200852,01/01/2008,M,Imports,,1,Total,0,World,2000,,96.58379702,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2009,A,0,200952,01/01/2009,X,Exports,,1,Total,0,World,2000,,157.33143726,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2009,A,0,200952,01/01/2009,M,Imports,,1,Total,0,World,2000,,96.53719997,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2010,A,0,201052,01/01/2010,M,Imports,,1,Total,0,World,2000,,91.36675529,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,2010,A,0,201052,01/01/2010,X,Exports,,1,Total,0,World,2000,,163.45478024,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1986,A,0,198652,01/01/1986,M,Imports,,1,Total,0,World,2000,,74.38286325,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1986,A,0,198652,01/01/1986,X,Exports,,1,Total,0,World,2000,,74.52589941,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1987,A,0,198752,01/01/1987,M,Imports,,1,Total,0,World,2000,,78.83918537,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1987,A,0,198752,01/01/1987,X,Exports,,1,Total,0,World,2000,,77.49652659,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1988,A,0,198852,01/01/1988,M,Imports,,1,Total,0,World,2000,,77.03460059,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1988,A,0,198852,01/01/1988,X,Exports,,1,Total,0,World,2000,,86.66879158,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1989,A,0,198952,01/01/1989,M,Imports,,1,Total,0,World,2000,,76.26118101,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1989,A,0,198952,01/01/1989,X,Exports,,1,Total,0,World,2000,,91.41143203,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1990,A,0,199052,01/01/1990,M,Imports,,1,Total,0,World,2000,,79.29346088,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1990,A,0,199052,01/01/1990,X,Exports,,1,Total,0,World,2000,,92.25927197,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1991,A,0,199152,01/01/1991,M,Imports,,1,Total,0,World,2000,,80.13092856,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1991,A,0,199152,01/01/1991,X,Exports,,1,Total,0,World,2000,,84.28545743,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1992,A,0,199252,01/01/1992,M,Imports,,1,Total,0,World,2000,,83.71250537,,P,Price,A,Actual
T36.A.P.,T36,"Total trade - value, volume, unit value",36,C,Australia,1992,A,0,199252,01/01/1992,X,Exports,,1,Total,0,World,2000,,85.98751205,,P,Price,A,Actual
